<Mach-1 File>
<INFO>
Date:	Thu, Nov 23, 2023
Time:	12:37:57.090
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	10kg - SN: 1805192
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.962816
Load Cell Offset:	171.500000
Load Cell Calibration Date:	2023-11-23
<END INFO>
<Stress Relaxation>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Amplitude, mm:	1.2660
Velocity, mm/s:	0.0063
Number of Ramp:	1
Stop based on:	Fixed Relaxation Time
Fixed Relaxation Time, s:	60
Relaxation Rate, gf/min:	0.0100
Time for Measurement of the Slope, s:	10
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fz, gf
2.350000	-5.525900	0.000000	0.481408
2.360000	-5.525800	0.000000	0.481408
2.370000	-5.525800	0.000000	0.481408
2.380000	-5.525700	0.000000	0.481408
2.390000	-5.525600	0.000000	0.481408
2.400000	-5.525600	0.000000	0.481408
2.410000	-5.525500	0.000000	0.000000
2.420000	-5.525500	0.000000	0.000000
2.430000	-5.525400	0.000000	0.000000
2.440000	-5.525400	0.000000	0.481408
2.450000	-5.525300	0.000000	0.481408
2.460000	-5.525200	0.000000	0.481408
2.470000	-5.525100	0.000000	0.481408
2.480000	-5.525000	0.000000	0.481408
2.490000	-5.525000	0.000000	0.481408
2.500000	-5.524900	0.000000	0.000000
2.510000	-5.524800	0.000000	0.000000
2.520000	-5.524800	0.000000	0.000000
2.530000	-5.524700	0.000000	0.481408
2.540000	-5.524700	0.000000	0.481408
2.550000	-5.524600	0.000000	0.481408
2.560000	-5.524600	0.000000	0.481408
2.570000	-5.524500	0.000000	0.481408
2.580000	-5.524400	0.000000	0.481408
2.590000	-5.524400	0.000000	0.000000
2.600000	-5.524300	0.000000	0.000000
2.610000	-5.524200	0.000000	0.481408
2.620000	-5.524200	0.000000	0.481408
2.630000	-5.524100	0.000000	0.481408
2.640000	-5.524000	0.000000	0.481408
2.650000	-5.524000	0.000000	0.481408
2.660000	-5.523900	0.000000	0.481408
2.670000	-5.523800	0.000000	0.481408
2.680000	-5.523800	0.000000	0.481408
2.690000	-5.523700	0.000000	0.481408
2.700000	-5.523600	0.000000	0.000000
2.710000	-5.523600	0.000000	0.000000
2.720000	-5.523500	0.000000	0.000000
2.730000	-5.523500	0.000000	0.481408
2.740000	-5.523400	0.000000	0.481408
2.750000	-5.523400	0.000000	0.481408
2.760000	-5.523300	0.000000	0.481408
2.770000	-5.523300	0.000000	0.481408
2.780000	-5.523200	0.000000	0.481408
2.790000	-5.523100	0.000000	0.000000
2.800000	-5.523100	0.000000	0.000000
2.810000	-5.523000	0.000000	0.000000
2.820000	-5.522900	0.000000	0.481408
2.830000	-5.522900	0.000000	0.481408
2.840000	-5.522800	0.000000	0.481408
2.850000	-5.522700	0.000000	0.481408
2.860000	-5.522700	0.000000	0.000000
2.870000	-5.522600	0.000000	0.481408
2.880000	-5.522600	0.000000	0.481408
2.890000	-5.522500	0.000000	0.481408
2.900000	-5.522400	0.000000	0.481408
2.910000	-5.522300	0.000000	0.481408
2.920000	-5.522300	0.000000	0.481408
2.930000	-5.522200	0.000000	0.481408
2.940000	-5.522100	0.000000	0.481408
2.950000	-5.522100	0.000000	0.481408
2.960000	-5.522000	0.000000	0.481408
2.970000	-5.521900	0.000000	0.481408
2.980000	-5.521900	0.000000	0.481408
2.990000	-5.521800	0.000000	0.000000
3.000000	-5.521800	0.000000	0.481408
3.010000	-5.521700	0.000000	0.481408
3.020000	-5.521700	0.000000	0.481408
3.030000	-5.521600	0.000000	0.481408
3.040000	-5.521500	0.000000	0.481408
3.050000	-5.521500	0.000000	0.481408
3.060000	-5.521400	0.000000	0.481408
3.070000	-5.521400	0.000000	0.481408
3.080000	-5.521300	0.000000	0.481408
3.090000	-5.521200	0.000000	0.481408
